,Day High Temperature,Day Low Temperature,Weather Condition,Rain Percentage,Wind Speed,Wind Direction
0,35°,23°,Cloudy,1%,,NW 13 km/h
1,37°,23°,Partly Cloudy,0%,,N 11 km/h
2,36°,21°,Partly Cloudy,1%,,NW 14 km/h
3,35°,21°,Mostly Sunny,0%,,NW 12 km/h
4,36°,21°,Sunny,0%,,WNW 18 km/h
5,37°,21°,Sunny,0%,,NW 14 km/h
6,37°,21°,Sunny,0%,,WNW 17 km/h
7,38°,23°,Partly Cloudy,0%,,NW 14 km/h
8,39°,24°,Mostly Sunny,2%,,WNW 18 km/h
9,39°,24°,Partly Cloudy,0%,,NW 15 km/h
10,37°,24°,Mostly Cloudy,5%,,WNW 16 km/h
11,36°,23°,Mostly Cloudy,24%,,WNW 14 km/h
12,34°,22°,Mostly Cloudy,24%,,W 14 km/h
13,34°,22°,Partly Cloudy,16%,,WNW 12 km/h
14,35°,22°,Partly Cloudy,10%,,WSW 13 km/h
